ticker,year,quarter,AssetQualityComponent.ProblemLoansAndLeasesCalculatedAsPercentageOfGrossLoans,AssetQualityComponent.LoanLossReservesToNPLs,LiquidityAndAssetsComponent.LDRPercentage,ProfitabilityComponent.NIM,NetInterestIncome,AttributeToParentCompany,SolvencyRatio.LiabilitiesToEquityRatio,ProfitabilityRatio.EBITMargin,ProfitabilityRatio.ROA,ProfitabilityRatio.ROE,ProfitabilityRatio.ROIC,ValuationRatios.BookValuePerShare,ValuationRatios.BasicEPS,ValuationRatios.PriceToBook,ValuationRatios.PriceToEarning,Revenue,EBIT
MBB,2024,2,0.01635955,1.01737233,0.85223216,0.04349544,9062293000000.0,4532698000000.0,,,,,,,,,,,
MBB,2024,3,0.02234221,0.68771969,0.84537658,0.04164703,10531113000000.0,6026749000000.0,,,,,,,,,,,
MBB,2024,4,0.0162046,0.92248411,0.84178314,0.04074059,10416635000000.0,5790156000000.0,,,,,,,,,,,
MBB,2025,1,0.01840945,0.75259321,0.84406575,0.04169383,11142178000000.0,6284154000000.0,,,,,,,,,,,
MBB,2025,2,0.01604436,0.88886345,0.83391906,0.04057484,11692184000000.0,6567740000000.0,,,,,,,,,,,
MBB,2025,3,0.01870331,0.79207383,0.87957925,0.04021586,12372117000000.0,5877605000000.0,,,,,,,,,,,
MBB,2025,4,0.01294026,0.93748685,0.83886874,0.03865584,12990524000000.0,5571024000000.0,,,,,,,,,,,
MSB,2021,1,0.01859412,0.54653842,0.67828831,0.03516551,1419750000000.0,898653000000.0,,,,,,,,,,,
MSB,2021,2,0.02018545,0.58508722,0.7279843,0.03678072,1476985000000.0,1580274000000.0,,,,,,,,,,,
MSB,2021,3,0.01945743,0.62059455,0.72543816,0.03720238,1626968000000.0,809551000000.0,,,,,,,,,,,
MSB,2021,4,0.01741579,0.95364918,0.71655224,0.03655178,1692541000000.0,746260000000.0,,,,,,,,,,,
MSB,2022,1,0.01788046,0.8777692,0.79729194,0.03850497,1964012000000.0,1149143000000.0,,,,,,,,,,,
MSB,2022,2,0.01504928,0.84280788,0.80080677,0.04054944,2059748000000.0,1491993000000.0,,,,,,,,,,,
MSB,2022,3,0.0149888,0.95678554,0.81894213,0.04335206,2200103000000.0,1202769000000.0,,,,,,,,,,,
MSB,2022,4,0.01714765,0.69168286,0.76327611,0.04363245,2097929000000.0,772310000000.0,,,,,,,,,,,
MSB,2023,1,0.02022629,0.6523583,0.77000076,0.04394957,2157736000000.0,1217580000000.0,,,,,,,,,,,
MSB,2023,2,0.02559754,0.63785474,0.76550026,0.04264763,2210599000000.0,1617624000000.0,,,,,,,,,,,
MSB,2023,3,0.02937164,0.58217021,0.76085214,0.04109094,2437678000000.0,1325302000000.0,,,,,,,,,,,
MSB,2023,4,0.02870239,0.55193679,0.76162253,0.04102815,2382502000000.0,483709000000.0,,,,,,,,,,,
MSB,2024,1,0.03176199,0.53583045,0.80784717,0.03870266,2365635000000.0,1193947000000.0,,,,,,,,,,,
MSB,2024,2,0.03084618,0.58589211,0.79082292,0.03686266,2341990000000.0,1729963000000.0,,,,,,,,,,,
MSB,2024,3,0.02879565,0.62949531,0.78799949,0.03477218,2396498000000.0,978491000000.0,,,,,,,,,,,
MSB,2024,4,0.02675023,0.640948,0.74914816,0.03649693,3138941000000.0,1616976000000.0,,,,,,,,,,,
MSB,2025,1,0.02568423,0.59632881,0.81527465,0.03502123,2503785000000.0,1265601000000.0,,,,,,,,,,,
MSB,2025,2,0.02702355,0.55593521,0.77746145,0.0345203,2584839000000.0,1237492000000.0,,,,,,,,,,,
MSB,2025,3,0.02791892,0.53679868,0.75058594,0.03448545,2815316000000.0,1274181000000.0,,,,,,,,,,,
MSB,2025,4,0.02690112,0.51637958,0.67180264,0.03151107,3043554000000.0,1851246000000.0,,,,,,,,,,,
MSN,2021,4,,,,,,187370000000.0,1.97835245,0.07089678,0.070817,0.351307,0.0701417,,,5.13792448,19.65277639,20320723000000.0,683203000000.0
MSN,2022,1,,,,,,791243000000.0,2.38294409,0.07742956,0.080663,0.386632,0.07418102,19306.70824039,1351.82811653,5.692322,15.61311435,21577402000000.0,1270690000000.0
MSN,2022,2,,,,,,1147456000000.0,2.22866208,0.07743446,0.081445,0.366112,0.07054862,20510.09531384,688.97514463,4.04678763,11.57528635,23903900000000.0,1842521000000.0
MSN,2022,3,,,,,,6436813000000.0,2.60746177,0.07275458,0.075836,0.331977,0.06189963,18016.27463397,381.50280167,5.66154773,15.19552064,23989594000000.0,2487080000000.0
MSN,2022,4,,,,,,1595880000000.0,2.85795294,0.06128388,0.026675,0.120989,0.0501538,,,3.93594366,28.85770054,18218759000000.0,1123788000000.0
MSN,2023,1,,,,,,980911000000.0,2.92883077,0.05807968,0.016168,0.081418,0.04385334,18538.67334474,150.95262792,4.66756695,56.35584214,17862146000000.0,1008981000000.0
MSN,2023,2,,,,,,543155000000.0,2.75379015,0.05728588,0.00942,0.050066,0.04154249,18611.34258531,73.95670849,3.12116114,62.88998146,19577827000000.0,1154991000000.0
MSN,2023,3,,,,,,447050000000.0,2.81035933,0.05943701,0.00569322,0.03082895,0.0069407,18718.42089777,33.80943016,3.50456914,114.6330148,20722018000000.0,1381411000000.0
MSN,2023,4,,,,,,214915000000.0,2.85444839,0.05340151,0.00290029,0.07094853,0.03184755,,,3.60410157,228.1197864,18714952000000.0,909684000000.0
MSN,2024,1,,,,,,105294000000.0,2.77309394,0.05066939,0.00212567,0.01156572,0.02961965,18680.31539999,72.93320848,3.82073666,333.86998289,18696931000000.0,992460000000.0
MSN,2024,2,,,,,,48376000000.0,2.40790114,0.0536093,0.00473083,0.02481656,0.03192101,21735.51869385,332.18829104,3.47293992,162.6609343,20244809000000.0,1359217000000.0
MSN,2024,3,,,,,,50110000000.0,2.74672923,0.05585472,0.00896943,0.04666137,0.03521752,19501.75424728,463.3868589,3.18823882,70.59557228,20860307000000.0,917394000000.0
MSN,2024,4,,,,,,104356000000.0,2.62149936,0.07421926,0.0135544,0.0703874,0.04723291,,,2.84892437,44.54582561,18942352000000.0,703424000000.0
MSN,2025,1,,,,,,502577000000.0,2.30388492,0.08537696,0.01519154,0.07373753,0.05560095,20324.87796347,260.09167257,3.5455861,49.92262169,20203516000000.0,1304749000000.0
MSN,2025,2,,,,,,701071000000.0,1.96490575,0.08850436,0.01982651,0.09165817,0.05900188,21464.25266343,682.24788739,3.53087243,42.62807866,21574637000000.0,1613082000000.0
MSN,2025,3,,,,,,691055000000.0,1.82388429,0.09465749,0.02483707,0.10459948,0.06474493,22164.58685741,794.91046319,3.29074693,34.92561806,22735941000000.0,2552134000000.0
