ticker,year,quarter,AssetQualityComponent.ProblemLoansAndLeasesCalculatedAsPercentageOfGrossLoans,AssetQualityComponent.LoanLossReservesToNPLs,LiquidityAndAssetsComponent.LDRPercentage,ProfitabilityComponent.NIM,GrowthComponent.AverageLoansGrowthPercentageYoY,GrowthComponent.AverageDepositGrowthPercentageYoY,GrowthComponent.InterestincomeGrowthPercentageYoY,NetInterestIncome,AttributeToParentCompany,SolvencyRatio.LiabilitiesToEquityRatio,ProfitabilityRatio.EBITMargin,ProfitabilityRatio.ROA,ProfitabilityRatio.ROE,ProfitabilityRatio.ROIC,ValuationRatios.BookValuePerShare,ValuationRatios.BasicEPS,ValuationRatios.PriceToBook,ValuationRatios.PriceToEarning,Growth.NetRevenueGrowthYoY,Growth.EBTgrowthYoY,Revenue,EBIT
DPM,2025,,,,,,,,,,1073241128259.0,0.54140665,0.06094438,0.06252749,0.09601933,0.05811607,16694.7223825,1578.31722108,1.58433302,16.75835481,0.22734168,1.02078694,16820114094194.0,1009505689058.0
DSE,2025,,,,,,,,,,54469549309.0,2.26326184,0.31935122,0.0248388,0.07157218,0.02867663,12630.35461365,402.49236875,1.90810161,59.87691164,0.59652051,0.20001244,180690909115.0,65226095685.0
DSE,2025,,,,,,,,,,77762818412.0,2.51884383,0.27387012,0.02114561,0.06541656,0.02676498,,,,,0.8056609,0.49548484,452087667139.0,110453366589.0
DSE,2025,,,,,,,,,,228984261606.0,2.51884383,0.27387012,0.02114561,0.06541656,0.02676498,12557.880359,795.47468371,1.88726117,29.79353144,0.8056609,0.49548484,714513630828.0,286196282373.0
DSE,2026,,,,,,,,,,181770625492.0,1.90365875,0.23307528,0.01630015,0.0509683,0.0223294,12512.42961433,26.44870768,1.89411655,896.07402701,0.85164959,0.39606909,807411969647.0,236024917992.0
DSE,2026,,,,,,,,,,272529626638.0,1.90365875,0.23307528,0.01630015,0.0509683,0.0223294,12512.42961433,649.57060877,1.89411655,36.48564094,0.85164959,0.39606909,1457912226141.0,399278595826.0
DXG,2025,,,,,,,,,,1157260328331.0,0.97045611,0.25137992,0.00905132,0.0247525,0.03555655,14114.71699941,55.4162072,1.36736712,348.27356427,0.05991278,0.09509022,10131420687101.0,2712677443644.0
DXG,2025,,,,,,,,,,214869190226.0,0.70781607,0.26982954,0.0103719,0.02803346,0.04149808,12151.26648883,79.72830676,1.74467411,265.90305077,-0.11257276,0.42477568,5555817962463.0,830223069239.0
DXG,2025,,,,,,,,,,171983289231.0,0.85781326,0.26600275,0.01177242,0.03218534,0.04303987,12233.85986251,90.95840773,1.25880141,169.30815286,-0.06187501,0.70662013,3724825944342.0,733846616689.0
DXG,2025,,,,,,,,,,255935001805.0,0.82040329,0.208108,0.00687167,0.0186976,0.03347551,,,,,-0.12586586,-0.00799344,4795471317826.0,1140303213282.0
DXG,2025,,,,,,,,,,230881012655.0,0.82040329,0.208108,0.00687167,0.0186976,0.03347551,12771.5628612,203.08496516,1.1666544,73.36830665,-0.12586586,-0.00799344,4490024427662.0,872364842844.0
DXS,2024,,,,,,,,,,538795531509.0,0.81190125,0.18233723,0.00921657,0.02368499,,10382.04025571,581.00625025,0.68483649,12.23738987,0.22052739,5.29148358,4370953925441.0,1265751686842.0
DXS,2025,,,,,,,,,,344529067642.0,0.84440452,0.17468779,0.0097523,0.02494699,0.03077938,10451.21112484,69.17086914,1.04772546,158.3036347,0.10646361,9.34493077,4140392579342.0,728884929507.0
DXS,2025,,,,,,,,,,-168120092464.0,0.81067343,0.2410463,0.02124127,0.05392219,0.04979062,10819.98906581,373.22052563,1.02587904,29.74112954,0.20461145,3.62747316,1997404377548.0,106464110254.0
DXS,2025,,,,,,,,,,140670849757.0,0.95839575,0.23984428,0.02345544,0.06005612,0.05266844,10934.89211207,4.56711852,0.65021218,1556.78026941,0.28980474,3.22153339,2609745694557.0,444517511846.0
